Month,Day,Day of Week,Hour,Occupancy
1,1,1,0,1.875
1,1,1,1,4.125
1,1,1,2,3.875
1,1,1,3,2.75
1,1,1,4,0.375
1,1,1,5,0.0
1,1,1,6,0.0
1,1,1,7,0.0
1,1,1,8,0.125
1,1,1,9,0.25
1,1,1,10,0.75
1,1,1,11,1.875
1,1,1,12,3.25
1,1,1,13,3.5
1,1,1,14,3.25
1,1,1,15,3.5
1,1,1,16,3.375
1,1,1,17,2.5
1,1,1,18,2.125
1,1,1,19,2.25
1,1,1,20,1.5
1,1,1,21,1.5
1,1,1,22,0.75
1,1,1,23,0.5
1,1,2,0,3.375
1,1,2,1,6.0
1,1,2,2,4.625
1,1,2,3,3.0
1,1,2,4,0.875
1,1,2,5,0.0
1,1,2,6,0.0
1,1,2,7,0.0
1,1,2,8,0.25
1,1,2,9,0.625
1,1,2,10,1.375
1,1,2,11,2.875
1,1,2,12,3.75
1,1,2,13,4.0
1,1,2,14,4.375
1,1,2,15,4.0
1,1,2,16,4.0
1,1,2,17,3.25
1,1,2,18,2.75
1,1,2,19,2.25
1,1,2,20,1.5
1,1,2,21,1.0
1,1,2,22,0.875
1,1,2,23,0.625
1,2,2,0,0.0
1,2,2,1,0.0
1,2,2,2,0.0
1,2,2,3,0.0
1,2,2,4,0.0
1,2,2,5,0.0
1,2,2,6,0.125
1,2,2,7,1.875
1,2,2,8,6.0
1,2,2,9,5.375
1,2,2,10,3.75
1,2,2,11,3.75
1,2,2,12,5.375
1,2,2,13,6.0
1,2,2,14,5.75
1,2,2,15,7.25
1,2,2,16,11.25
1,2,2,17,13.625
1,2,2,18,9.375
1,2,2,19,4.875
1,2,2,20,2.375
1,2,2,21,1.5
1,2,2,22,1.125
1,2,2,23,0.25
1,2,3,0,0.5
1,2,3,1,0.0
1,2,3,2,0.0
1,2,3,3,0.0
1,2,3,4,0.0
1,2,3,5,0.0
1,2,3,6,0.375
1,2,3,7,3.0
1,2,3,8,6.0
1,2,3,9,6.125
1,2,3,10,4.375
1,2,3,11,4.25
1,2,3,12,6.5
1,2,3,13,6.5
1,2,3,14,6.0
1,2,3,15,7.75
1,2,3,16,11.875
1,2,3,17,10.25
1,2,3,18,9.625
1,2,3,19,6.875
1,2,3,20,3.75
1,2,3,21,2.5
1,2,3,22,2.0
1,2,3,23,1.0
1,3,3,0,0.0
1,3,3,1,0.0
1,3,3,2,0.0
1,3,3,3,0.0
1,3,3,4,0.0
1,3,3,5,0.0
1,3,3,6,0.25
1,3,3,7,3.25
1,3,3,8,8.375
1,3,3,9,7.25
1,3,3,10,4.5
1,3,3,11,5.25
1,3,3,12,6.5
1,3,3,13,6.875
1,3,3,14,6.875
1,3,3,15,8.125
1,3,3,16,12.25
1,3,3,17,12.5
1,3,3,18,11.125
1,3,3,19,7.875
1,3,3,20,4.0
1,3,3,21,3.125
1,3,3,22,2.125
1,3,3,23,1.0
1,3,4,0,0.5
1,3,4,1,0.0
1,3,4,2,0.0
1,3,4,3,0.0
1,3,4,4,0.0
1,3,4,5,0.0
1,3,4,6,0.375
1,3,4,7,2.5
1,3,4,8,5.875
1,3,4,9,5.875
1,3,4,10,5.0
1,3,4,11,4.75
1,3,4,12,5.75
1,3,4,13,7.125
1,3,4,14,7.375
1,3,4,15,7.75
1,3,4,16,11.0
1,3,4,17,12.125
1,3,4,18,12.125
1,3,4,19,9.5
1,3,4,20,4.875
1,3,4,21,3.25
1,3,4,22,2.875
1,3,4,23,1.375
1,4,4,0,0.375
1,4,4,1,0.0
1,4,4,2,0.0
1,4,4,3,0.0
1,4,4,4,0.0
1,4,4,5,0.0
1,4,4,6,0.375
1,4,4,7,4.125
1,4,4,8,8.75
1,4,4,9,8.625
1,4,4,10,4.875
1,4,4,11,5.2
1,4,4,12,6.5
