Month,Day,Day of Week,Hour,Occupancy
12,30,6,0,9.083333333333334
12,30,6,1,5.75
12,30,6,2,5.416666666666667
12,30,6,3,5.583333333333333
12,30,6,4,1.5
12,30,6,5,0.75
12,30,6,6,0.5
12,30,6,7,1.5
12,30,6,8,2.25
12,30,6,9,4.416666666666667
12,30,6,10,4.583333333333333
12,30,6,11,9.666666666666666
12,30,6,12,13.25
12,30,6,13,10.5
12,30,6,14,16.25
12,30,6,15,27.25
12,30,6,16,29.916666666666668
12,30,6,17,16.25
12,30,6,18,11.166666666666666
12,30,6,19,12.916666666666666
12,30,6,20,7.083333333333333
12,30,6,21,6.333333333333333
12,30,6,22,8.666666666666666
12,30,6,23,9.5
12,31,0,0,9.083333333333334
12,31,0,1,5.0
12,31,0,2,5.5
12,31,0,3,5.166666666666667
12,31,0,4,1.75
12,31,0,5,0.6666666666666666
12,31,0,6,0.5833333333333334
12,31,0,7,0.9166666666666666
12,31,0,8,1.25
12,31,0,9,2.5
12,31,0,10,4.5
12,31,0,11,7.666666666666667
12,31,0,12,8.583333333333334
12,31,0,13,8.583333333333334
12,31,0,14,9.166666666666666
12,31,0,15,7.916666666666667
12,31,0,16,9.0
12,31,0,17,7.083333333333333
12,31,0,18,8.583333333333334
12,31,0,19,6.25
12,31,0,20,6.916666666666667
12,31,0,21,9.333333333333334
12,31,0,22,13.333333333333334
12,31,0,23,15.333333333333334
