Month,Day,Day of Week,Hour,Occupancy
1,1,1,0,9.0
1,1,1,1,13.75
1,1,1,2,17.5
1,1,1,3,13.083333333333334
1,1,1,4,5.0
1,1,1,5,1.8333333333333333
1,1,1,6,1.0
1,1,1,7,1.0
1,1,1,8,1.4166666666666667
1,1,1,9,1.6666666666666667
1,1,1,10,5.583333333333333
1,1,1,11,8.833333333333334
1,1,1,12,14.916666666666666
1,1,1,13,13.083333333333334
1,1,1,14,11.0
1,1,1,15,10.083333333333334
1,1,1,16,5.25
1,1,1,17,3.5833333333333335
1,1,1,18,4.0
1,1,1,19,3.75
1,1,1,20,3.1666666666666665
1,1,1,21,2.9166666666666665
1,1,1,22,2.6666666666666665
1,1,1,23,2.0
1,1,2,0,15.75
1,1,2,1,20.916666666666668
1,1,2,2,22.25
1,1,2,3,16.083333333333332
1,1,2,4,4.25
1,1,2,5,2.25
1,1,2,6,0.9166666666666666
1,1,2,7,3.4166666666666665
1,1,2,8,1.3333333333333333
1,1,2,9,2.3333333333333335
1,1,2,10,5.166666666666667
1,1,2,11,10.0
1,1,2,12,15.333333333333334
1,1,2,13,14.0
1,1,2,14,13.083333333333334
1,1,2,15,11.666666666666666
1,1,2,16,8.916666666666666
1,1,2,17,9.25
1,1,2,18,6.666666666666667
1,1,2,19,4.75
1,1,2,20,4.083333333333333
1,1,2,21,3.25
1,1,2,22,3.0
1,1,2,23,1.75
1,1,5,0,3.4166666666666665
1,1,5,1,3.3333333333333335
1,1,5,2,3.5833333333333335
1,1,5,3,2.0833333333333335
1,1,5,4,1.1666666666666667
1,1,5,5,0.6666666666666666
1,1,5,6,0.25
1,1,5,7,0.75
1,1,5,8,0.9166666666666666
1,1,5,9,1.5833333333333333
1,1,5,10,3.0833333333333335
1,1,5,11,5.916666666666667
1,1,5,12,7.666666666666667
1,1,5,13,8.333333333333334
1,1,5,14,6.833333333333333
1,1,5,15,6.833333333333333
1,1,5,16,6.833333333333333
1,1,5,17,5.833333333333333
1,1,5,18,6.75
1,1,5,19,11.833333333333334
1,1,5,20,7.916666666666667
1,1,5,21,6.0
1,1,5,22,5.25
1,1,5,23,4.25
1,2,2,0,1.75
1,2,2,1,0.75
1,2,2,2,0.5
1,2,2,3,0.25
1,2,2,4,0.16666666666666666
1,2,2,5,0.5
1,2,2,6,1.0
1,2,2,7,6.083333333333333
1,2,2,8,10.083333333333334
1,2,2,9,10.25
1,2,2,10,9.416666666666666
1,2,2,11,10.583333333333334
1,2,2,12,15.666666666666666
1,2,2,13,16.166666666666668
1,2,2,14,15.5
1,2,2,15,18.0
1,2,2,16,18.833333333333332
1,2,2,17,27.666666666666668
1,2,2,18,21.083333333333332
1,2,2,19,7.333333333333333
1,2,2,20,4.833333333333333
1,2,2,21,4.5
1,2,2,22,2.5833333333333335
1,2,2,23,2.25
1,2,3,0,1.25
1,2,3,1,0.4166666666666667
1,2,3,2,1.6666666666666667
1,2,3,3,0.3333333333333333
1,2,3,4,0.4166666666666667
1,2,3,5,1.0
1,2,3,6,1.8333333333333333
1,2,3,7,5.0
1,2,3,8,7.416666666666667
1,2,3,9,7.333333333333333
1,2,3,10,9.833333333333334
1,2,3,11,11.5
1,2,3,12,14.0
1,2,3,13,12.583333333333334
1,2,3,14,14.083333333333334
1,2,3,15,13.666666666666666
1,2,3,16,18.333333333333332
1,2,3,17,18.75
1,2,3,18,20.833333333333332
1,2,3,19,13.916666666666666
1,2,3,20,7.25
1,2,3,21,4.833333333333333
1,2,3,22,3.4166666666666665
