Month,Day,Day of Week,Hour,Occupancy
12,30,6,0,2.875
12,30,6,1,1.875
12,30,6,2,1.0
12,30,6,3,0.5
12,30,6,4,0.0
12,30,6,5,0.0
12,30,6,6,0.375
12,30,6,7,1.125
12,30,6,8,1.5
12,30,6,9,3.25
12,30,6,10,4.625
12,30,6,11,5.625
12,30,6,12,6.875
12,30,6,13,8.625
12,30,6,14,9.875
12,30,6,15,14.125
12,30,6,16,13.25
12,30,6,17,9.125
12,30,6,18,8.875
12,30,6,19,7.625
12,30,6,20,6.125
12,30,6,21,6.0
12,30,6,22,6.5
12,30,6,23,4.375
12,31,0,0,2.625
12,31,0,1,2.125
12,31,0,2,1.25
12,31,0,3,0.375
12,31,0,4,0.0
12,31,0,5,0.0
12,31,0,6,0.0
12,31,0,7,0.375
12,31,0,8,0.625
12,31,0,9,1.75
12,31,0,10,3.25
12,31,0,11,4.875
12,31,0,12,6.625
12,31,0,13,7.125
12,31,0,14,7.625
12,31,0,15,8.0
12,31,0,16,7.875
12,31,0,17,6.25
12,31,0,18,6.375
12,31,0,19,6.0
12,31,0,20,6.375
12,31,0,21,6.75
12,31,0,22,6.75
12,31,0,23,7.625
