Month,Day,Day of Week,Hour,Occupancy
12,30,6,0,1.75
12,30,6,1,1.0
12,30,6,2,0.875
12,30,6,3,0.5
12,30,6,4,0.0
12,30,6,5,0.0
12,30,6,6,0.0
12,30,6,7,0.125
12,30,6,8,0.875
12,30,6,9,2.0
12,30,6,10,3.75
12,30,6,11,5.25
12,30,6,12,7.125
12,30,6,13,8.375
12,30,6,14,9.75
12,30,6,15,8.875
12,30,6,16,8.75
12,30,6,17,8.0
12,30,6,18,8.0
12,30,6,19,7.375
12,30,6,20,6.0
12,30,6,21,4.625
12,30,6,22,3.75
12,30,6,23,2.625
12,31,0,0,2.125
12,31,0,1,1.375
12,31,0,2,1.0
12,31,0,3,0.625
12,31,0,4,0.0
12,31,0,5,0.0
12,31,0,6,0.0
12,31,0,7,0.0
12,31,0,8,0.25
12,31,0,9,1.125
12,31,0,10,2.375
12,31,0,11,3.875
12,31,0,12,6.25
12,31,0,13,6.625
12,31,0,14,7.5
12,31,0,15,7.0
12,31,0,16,6.875
12,31,0,17,5.5
12,31,0,18,5.625
12,31,0,19,5.75
12,31,0,20,4.75
12,31,0,21,5.25
12,31,0,22,5.0
12,31,0,23,3.375
