Month,Day,Hour,Day of Week,Volume,Occupancy
1,1,18,1,573,2.375
1,1,18,2,677,3.0
1,2,18,2,1190,7.25
1,2,18,3,1246,6.875
1,3,18,3,1400,14.75
1,3,18,4,1458,8.0
1,4,18,4,1573,10.25
1,5,18,5,1622,15.75
1,6,18,6,1470,7.75
1,7,18,0,1003,4.875
1,8,18,1,1345,17.5
1,9,18,2,1443,24.875
1,9,18,3,1383,9.75
1,10,18,3,1420,37.125
1,10,18,4,1327,20.875
1,11,18,4,1203,34.5
1,11,18,5,1452,13.25
1,12,18,6,1761,10.125
1,13,18,0,1142,5.75
1,16,18,6,1429,7.5
1,17,18,0,1199,6.125
1,17,18,3,1154,11.625
1,18,18,1,1310,6.625
1,18,18,4,1375,15.125
1,19,18,2,1144,6.0
1,19,18,5,1618,14.875
1,20,18,6,1771,10.5
1,21,18,0,1073,5.25
1,21,18,1,1374,7.0
1,21,18,4,1477,8.375
1,22,18,1,1228,16.75
1,22,18,2,1171,25.375
1,22,18,5,1658,9.625
1,23,18,2,1123,36.0
1,23,18,3,1054,38.75
1,23,18,6,1401,7.125
1,24,18,0,826,3.875
1,24,18,3,1427,22.5
1,24,18,4,1204,33.375
1,25,18,1,1375,7.75
1,25,18,4,1496,30.125
1,25,18,5,1554,23.5
1,26,18,2,1363,7.75
1,26,18,5,1660,10.75
1,26,18,6,1729,16.125
1,27,18,0,1520,7.875
1,27,18,3,1433,8.125
1,27,18,6,1473,13.25
1,28,18,0,1253,6.375
1,28,18,1,1169,13.375
1,28,18,4,1399,7.5
1,29,18,1,1143,17.5
1,29,18,2,1014,21.875
1,29,18,5,1607,9.125
1,30,18,2,1386,29.5
1,30,18,3,1461,13.0
1,30,18,6,1716,12.0
1,31,18,0,1237,6.375
1,31,18,3,1366,34.0
1,31,18,4,871,44.75
2,1,18,1,1332,6.875
2,1,18,4,1207,31.625
2,1,18,5,1510,12.5
2,2,18,2,1461,10.0
2,2,18,5,1526,13.125
2,2,18,6,1650,8.75
2,3,18,0,783,3.5
2,3,18,3,1547,8.75
2,3,18,6,1650,16.875
2,4,18,0,775,3.375
2,4,18,1,1500,8.625
2,4,18,4,1481,8.375
2,5,18,1,1458,12.75
2,5,18,2,1508,29.75
2,5,18,5,1555,11.5
