Month,Day,Hour,Day of Week,Occupancy
1,5,0,5,0.0
1,5,1,5,0.0
1,5,2,5,0.0
1,5,3,5,0.0
1,5,4,5,0.0
1,5,5,5,0.125
1,5,6,5,1.875
1,5,7,5,8.125
1,5,8,5,16.375
1,5,9,5,13.0
1,5,10,5,8.375
1,5,11,5,7.0
1,5,12,5,7.5
1,5,13,5,7.75
1,5,14,5,7.25
1,5,15,5,8.5
1,5,16,5,9.0
1,5,17,5,26.625
1,5,18,5,15.75
1,5,19,5,7.875
1,5,20,5,5.125
1,5,21,5,2.875
1,5,22,5,2.375
1,5,23,5,1.625
1,11,0,5,0.125
1,11,1,5,0.0
1,11,2,5,0.0
1,11,3,5,0.0
1,11,4,5,0.0
1,11,5,5,0.125
1,11,6,5,2.0
1,11,7,5,8.0
1,11,8,5,16.0
1,11,9,5,23.25
1,11,10,5,11.625
1,11,11,5,7.75
1,11,12,5,8.75
1,11,13,5,8.25
1,11,14,5,8.25
1,11,15,5,7.75
1,11,16,5,8.375
1,11,17,5,24.0
1,11,18,5,13.25
1,11,19,5,13.125
1,11,20,5,7.375
1,11,21,5,4.125
1,11,22,5,2.625
1,11,23,5,1.875
1,19,0,5,0.0
1,19,1,5,0.0
1,19,2,5,0.0
1,19,3,5,0.0
1,19,4,5,0.0
1,19,5,5,0.125
1,19,6,5,2.0
1,19,7,5,9.5
1,19,8,5,32.5
1,19,9,5,15.25
1,19,10,5,10.875
1,19,11,5,7.625
1,19,12,5,9.0
1,19,13,5,9.25
1,19,14,5,7.625
1,19,15,5,8.875
1,19,16,5,8.875
1,19,17,5,35.875
1,19,18,5,14.875
1,19,19,5,10.25
1,19,20,5,6.0
1,19,21,5,3.375
1,19,22,5,2.5
1,19,23,5,1.875
1,22,0,5,0.0
1,22,1,5,0.0
1,22,2,5,0.0
1,22,3,5,0.0
1,22,4,5,0.0
1,22,5,5,0.125
1,22,6,5,1.25
1,22,7,5,2.875
1,22,8,5,5.5
1,22,9,5,5.625
1,22,10,5,4.375
1,22,11,5,4.625
1,22,12,5,5.875
1,22,13,5,6.75
1,22,14,5,6.125
1,22,15,5,8.125
1,22,16,5,12.75
1,22,17,5,22.5
1,22,18,5,9.625
1,22,19,5,12.625
1,22,20,5,4.75
1,22,21,5,2.5
1,22,22,5,1.75
1,22,23,5,1.375
1,25,0,5,0.375
1,25,1,5,0.0
1,25,2,5,0.0
1,25,3,5,0.0
1,25,4,5,0.0
1,25,5,5,0.125
1,25,6,5,2.375
1,25,7,5,8.125
1,25,8,5,25.75
1,25,9,5,29.625
1,25,10,5,13.125
1,25,11,5,7.625
1,25,12,5,9.625
1,25,13,5,9.125
1,25,14,5,8.625
1,25,15,5,8.5
1,25,16,5,8.0
1,25,17,5,15.125
1,25,18,5,23.5
1,25,19,5,15.625
1,25,20,5,7.375
1,25,21,5,3.625
1,25,22,5,2.875
1,25,23,5,2.125
1,26,0,5,0.0
1,26,1,5,0.0
1,26,2,5,0.0
1,26,3,5,0.0
1,26,4,5,0.0
1,26,5,5,0.25
1,26,6,5,2.375
1,26,7,5,9.125
1,26,8,5,25.625
1,26,9,5,20.625
1,26,10,5,9.625
1,26,11,5,8.5
1,26,12,5,9.0
1,26,13,5,8.0
1,26,14,5,7.625
1,26,15,5,8.75
1,26,16,5,15.125
1,26,17,5,19.375
1,26,18,5,10.75
1,26,19,5,7.75
1,26,20,5,5.0
1,26,21,5,3.25
1,26,22,5,2.5
1,26,23,5,1.75
1,29,0,5,0.0
1,29,1,5,0.0
1,29,2,5,0.0
1,29,3,5,0.0
1,29,4,5,0.0
1,29,5,5,0.0
1,29,6,5,1.25
1,29,7,5,3.125
1,29,8,5,5.5
1,29,9,5,5.125
1,29,10,5,4.875
1,29,11,5,5.125
1,29,12,5,6.125
1,29,13,5,6.75
1,29,14,5,7.0
1,29,15,5,8.375
1,29,16,5,8.0
1,29,17,5,10.5
1,29,18,5,9.125
1,29,19,5,8.75
1,29,20,5,5.375
1,29,21,5,2.625
1,29,22,5,1.75
1,29,23,5,1.25
2,1,0,5,0.5
2,1,1,5,0.0
2,1,2,5,0.0
2,1,3,5,0.0
2,1,4,5,0.0
2,1,5,5,0.25
2,1,6,5,2.25
2,1,7,5,8.375
2,1,8,5,22.625
2,1,9,5,33.25
2,1,10,5,25.25
2,1,11,5,7.75
2,1,12,5,9.375
2,1,13,5,11.625
2,1,14,5,9.375
2,1,15,5,8.375
2,1,16,5,7.25
2,1,17,5,7.625
2,1,18,5,12.5
2,1,19,5,15.5
2,1,20,5,7.125
2,1,21,5,4.5
2,1,22,5,2.625
2,1,23,5,2.5
2,2,0,5,0.0
2,2,1,5,0.0
2,2,2,5,0.0
2,2,3,5,0.0
2,2,4,5,0.0
2,2,5,5,0.625
2,2,6,5,3.75
2,2,7,5,12.625
2,2,8,5,25.5
2,2,9,5,21.625
2,2,10,5,8.875
2,2,11,5,8.75
2,2,12,5,8.5
2,2,13,5,8.625
2,2,14,5,7.5
2,2,15,5,8.625
2,2,16,5,14.125
2,2,17,5,19.75
2,2,18,5,13.125
2,2,19,5,8.875
2,2,20,5,6.375
2,2,21,5,4.0
2,2,22,5,2.5
2,2,23,5,1.5
2,5,0,5,0.0
2,5,1,5,0.0
2,5,2,5,0.0
2,5,3,5,0.0
2,5,4,5,0.0
2,5,5,5,0.125
2,5,6,5,1.25
2,5,7,5,3.375
2,5,8,5,5.75
2,5,9,5,5.75
2,5,10,5,4.75
2,5,11,5,5.125
2,5,12,5,6.875
2,5,13,5,6.375
2,5,14,5,6.375
2,5,15,5,7.0
2,5,16,5,8.875
2,5,17,5,11.25
2,5,18,5,11.5
2,5,19,5,7.875
2,5,20,5,5.25
2,5,21,5,3.0
2,5,22,5,1.875
2,5,23,5,1.25
2,8,0,5,0.25
2,8,1,5,0.0
2,8,2,5,0.0
2,8,3,5,0.0
2,8,4,5,0.0
2,8,5,5,0.25
2,8,6,5,3.125
2,8,7,5,12.375
2,8,8,5,21.875
2,8,9,5,23.5
2,8,10,5,9.625
2,8,11,5,8.375
2,8,12,5,12.625
2,8,13,5,14.25
2,8,14,5,8.625
2,8,15,5,8.25
2,8,16,5,8.125
2,8,17,5,15.875
2,8,18,5,18.375
2,8,19,5,8.875
2,8,20,5,6.0
2,8,21,5,3.5
2,8,22,5,2.5
2,8,23,5,1.75
2,9,0,5,0.0
2,9,1,5,0.0
2,9,2,5,0.0
2,9,3,5,0.0
2,9,4,5,0.0
2,9,5,5,0.125
2,9,6,5,2.5
2,9,7,5,7.625
2,9,8,5,19.375
2,9,9,5,25.2
2,9,10,5,9.166666666666666
2,9,11,5,8.625
2,9,12,5,9.5
2,9,13,5,10.0
2,9,14,5,8.75
2,9,15,5,8.625
2,9,16,5,9.625
2,9,17,5,20.75
2,9,18,5,20.125
2,9,19,5,10.625
2,9,20,5,5.625
2,9,21,5,3.625
2,9,22,5,2.875
2,9,23,5,1.875
2,12,0,5,0.0
2,12,1,5,0.0
2,12,2,5,0.0
2,12,3,5,0.0
2,12,4,5,0.0
2,12,5,5,0.125
2,12,6,5,0.875
2,12,7,5,1.625
2,12,8,5,2.125
2,12,9,5,1.25
2,12,10,5,1.625
2,12,11,5,2.5
2,12,12,5,3.75
2,12,13,5,4.375
2,12,14,5,4.25
2,12,15,5,4.375
2,12,16,5,5.0
2,12,17,5,5.125
2,12,18,5,5.5
2,12,19,5,4.0
2,12,20,5,2.875
2,12,21,5,1.25
2,12,22,5,1.0
2,12,23,5,0.5
2,15,0,5,0.0
2,15,1,5,0.0
2,15,2,5,0.0
2,15,3,5,0.0
2,15,4,5,0.0
2,15,5,5,0.625
2,15,6,5,3.0
2,15,7,5,10.0
2,15,8,5,32.625
2,15,9,5,28.5
2,15,10,5,10.125
2,15,11,5,15.875
2,15,12,5,14.875
2,15,13,5,23.125
2,15,14,5,10.875
2,15,15,5,14.0
2,15,16,5,9.75
2,15,17,5,28.0
2,15,18,5,33.375
2,15,19,5,25.75
2,15,20,5,8.875
2,15,21,5,5.0
2,15,22,5,3.625
2,15,23,5,2.5
2,23,0,5,0.0
2,23,1,5,0.0
2,23,2,5,0.0
2,23,3,5,0.0
2,23,4,5,0.0
2,23,5,5,0.625
2,23,6,5,3.5
2,23,7,5,9.375
2,23,8,5,20.5
2,23,9,5,17.25
2,23,10,5,7.5
2,23,11,5,7.0
2,23,12,5,6.75
2,23,13,5,7.0
2,23,14,5,7.0
2,23,15,5,7.625
2,23,16,5,17.0
2,23,17,5,32.625
2,23,18,5,17.625
2,23,19,5,9.125
2,23,20,5,5.375
2,23,21,5,3.75
2,23,22,5,2.0
2,23,23,5,1.5
2,26,0,5,0.0
2,26,1,5,0.0
2,26,2,5,0.0
2,26,3,5,0.0
2,26,4,5,0.0
2,26,5,5,0.125
2,26,6,5,1.25
2,26,7,5,3.25
2,26,8,5,5.625
2,26,9,5,6.0
2,26,10,5,5.125
2,26,11,5,5.5
2,26,12,5,6.375
2,26,13,5,7.5
2,26,14,5,8.0
2,26,15,5,8.75
2,26,16,5,8.25
2,26,17,5,12.0
2,26,18,5,20.875
2,26,19,5,9.875
2,26,20,5,6.375
2,26,21,5,3.25
2,26,22,5,2.125
2,26,23,5,1.25
3,2,0,5,0.125
3,2,1,5,0.0
3,2,2,5,0.0
3,2,3,5,0.0
3,2,4,5,0.0
3,2,5,5,1.375
3,2,6,5,4.75
3,2,7,5,11.0
3,2,8,5,25.4
3,2,9,5,14.166666666666666
3,2,10,5,7.5
3,2,11,5,8.375
3,2,12,5,8.75
3,2,13,5,9.125
3,2,14,5,8.125
3,2,15,5,8.75
3,2,16,5,14.25
3,2,17,5,39.375
3,2,18,5,19.5
3,2,19,5,9.875
3,2,20,5,6.0
3,2,21,5,3.875
3,2,22,5,3.0
3,2,23,5,1.875
3,5,0,5,0.0
3,5,1,5,0.0
3,5,2,5,0.0
3,5,3,5,0.0
3,5,4,5,0.0
3,5,5,5,0.125
3,5,6,5,1.375
3,5,7,5,3.375
3,5,8,5,6.2
3,5,9,5,6.25
3,5,10,5,5.625
3,5,11,5,6.0
3,5,12,5,7.375
3,5,13,5,8.25
3,5,14,5,7.75
3,5,15,5,9.125
3,5,16,5,9.75
3,5,17,5,12.625
3,5,18,5,23.125
3,5,19,5,9.625
3,5,20,5,7.125
3,5,21,5,3.5
3,5,22,5,2.625
3,5,23,5,1.625
3,8,0,5,0.5
3,8,1,5,0.0
3,8,2,5,0.0
3,8,3,5,0.0
3,8,4,5,0.0
3,8,5,5,0.375
3,8,6,5,2.75
3,8,7,5,10.0
3,8,8,5,14.0
3,8,9,5,30.375
3,8,10,5,16.875
3,8,11,5,9.375
3,8,12,5,9.25
3,8,13,5,9.75
3,8,14,5,8.25
3,8,15,5,7.5
3,8,16,5,8.375
3,8,17,5,9.625
3,8,18,5,9.1
3,8,19,5,8.375
3,8,20,5,6.375
3,8,21,5,4.4
3,8,22,5,3.25
3,8,23,5,2.625
3,12,0,5,0.0
3,12,1,5,0.0
3,12,2,5,0.0
3,12,3,5,0.0
3,12,4,5,0.0
3,12,5,5,0.125
3,12,6,5,1.625
3,12,7,5,3.75
3,12,8,5,6.0
3,12,9,5,7.0
3,12,10,5,5.375
3,12,11,5,6.125
3,12,12,5,7.75
3,12,13,5,7.25
3,12,14,5,8.625
3,12,15,5,9.125
3,12,16,5,13.125
3,12,17,5,10.5
3,12,18,5,11.625
3,12,19,5,10.25
3,12,20,5,5.75
3,12,21,5,3.625
3,12,22,5,2.75
3,12,23,5,1.5
3,15,0,5,1.0
3,15,1,5,0.5
3,15,2,5,0.125
3,15,3,5,0.0
3,15,4,5,0.0
3,15,5,5,0.375
3,15,6,5,2.25
3,15,7,5,7.375
3,15,8,5,13.625
3,15,9,5,17.25
3,15,10,5,11.25
3,15,11,5,9.625
3,15,12,5,16.5
3,15,13,5,15.125
3,15,14,5,26.75
3,15,15,5,8.5
3,15,16,5,8.0
3,15,17,5,30.5
3,15,18,5,6.75
3,15,19,5,5.75
3,15,20,5,7.25
3,15,21,5,5.25
3,15,22,5,3.625
3,15,23,5,2.875
3,16,0,5,0.75
3,16,1,5,0.5
3,16,2,5,0.0
3,16,3,5,0.0
3,16,4,5,0.0
3,16,5,5,0.75
3,16,6,5,3.0
3,16,7,5,6.75
3,16,8,5,9.5
3,16,9,5,9.375
3,16,10,5,8.75
3,16,11,5,9.875
3,16,12,5,11.125
3,16,13,5,9.5
3,16,14,5,11.375
3,16,15,5,9.625
3,16,16,5,21.5
3,16,17,5,20.625
3,16,18,5,8.125
3,16,19,5,8.375
3,16,20,5,6.75
3,16,21,5,5.625
3,16,22,5,4.0
3,16,23,5,2.875
3,22,0,5,0.125
3,22,1,5,0.0
3,22,2,5,0.0
3,22,3,5,0.0
3,22,4,5,0.0
3,22,5,5,0.5
3,22,6,5,2.5
3,22,7,5,7.125
3,22,8,5,11.375
3,22,9,5,10.75
3,22,10,5,8.0
3,22,11,5,7.375
3,22,12,5,9.5
3,22,13,5,13.25
3,22,14,5,9.375
3,22,15,5,8.125
3,22,16,5,10.25
3,22,17,5,10.0
3,22,18,5,9.75
3,22,19,5,8.25
3,22,20,5,5.875
3,22,21,5,4.375
3,22,22,5,3.375
3,22,23,5,2.375
3,23,0,5,0.125
3,23,1,5,0.0
3,23,2,5,0.0
3,23,3,5,0.0
3,23,4,5,0.0
3,23,5,5,0.25
3,23,6,5,2.375
3,23,7,5,8.75
3,23,8,5,17.375
3,23,9,5,21.625
3,23,10,5,9.375
3,23,11,5,9.25
3,23,12,5,11.25
3,23,13,5,9.25
3,23,14,5,9.0
3,23,15,5,9.125
3,23,16,5,9.875
3,23,17,5,28.625
3,23,18,5,24.5
3,23,19,5,12.25
3,23,20,5,7.125
3,23,21,5,4.625
3,23,22,5,3.0
3,23,23,5,2.375
3,29,0,5,0.875
3,29,1,5,0.0
3,29,2,5,0.0
3,29,3,5,0.0
3,29,4,5,0.0
3,29,5,5,0.125
3,29,6,5,1.75
3,29,7,5,8.25
3,29,8,5,23.375
3,29,9,5,18.75
3,29,10,5,17.625
3,29,11,5,9.125
3,29,12,5,9.875
3,29,13,5,14.75
3,29,14,5,11.0
3,29,15,5,8.75
3,29,16,5,8.625
3,29,17,5,24.0
3,29,18,5,16.875
3,29,19,5,19.25
3,29,20,5,10.125
3,29,21,5,5.875
3,29,22,5,4.25
3,29,23,5,2.625
4,2,0,5,0.0
4,2,1,5,0.0
4,2,2,5,0.0
4,2,3,5,0.0
4,2,4,5,0.0
4,2,5,5,0.125
4,2,6,5,1.0
4,2,7,5,2.5
4,2,8,5,3.875
4,2,9,5,4.625
4,2,10,5,5.25
4,2,11,5,7.0
4,2,12,5,10.625
4,2,13,5,10.25
4,2,14,5,16.625
4,2,15,5,9.5
4,2,16,5,11.0
4,2,17,5,11.5
4,2,18,5,8.5
4,2,19,5,8.5
4,2,20,5,5.75
4,2,21,5,4.0
4,2,22,5,3.125
4,2,23,5,1.75
4,5,0,5,0.125
4,5,1,5,0.0
4,5,2,5,0.0
