Month,Day,Hour,Day of Week,Volume,Occupancy
8.0,19.0,0.0,6.0,-0.9655353306797745,-0.7157566297327349
8.0,19.0,1.0,6.0,-1.1242013677114295,-0.7665594045123848
8.0,19.0,2.0,6.0,-1.1673171386439447,-0.8173621792920346
8.0,19.0,3.0,6.0,-1.2380270029732692,-0.8173621792920346
8.0,19.0,4.0,6.0,-1.3070122364652932,-0.8173621792920346
8.0,19.0,5.0,6.0,-1.2983890822787902,-0.8173621792920346
8.0,19.0,6.0,6.0,-1.09660727431462,-0.7665594045123848
8.0,19.0,7.0,6.0,-0.8430865412314319,-0.664953854953085
8.0,19.0,8.0,6.0,-0.4412475561403923,-0.4786770140943688
8.0,19.0,9.0,6.0,0.1503008210537133,-0.29240017323565265
8.0,19.0,10.0,6.0,0.5107486660495386,-0.10612333237693644
8.0,19.0,11.0,6.0,0.4434880633948152,-0.12305759063681973
8.0,19.0,12.0,6.0,0.6176757779621758,-0.021452041077519992
8.0,19.0,13.0,6.0,0.569386114517759,-0.038386299337403285
8.0,19.0,14.0,6.0,0.5021255118630356,-0.08918907411705315
8.0,19.0,15.0,6.0,0.6711393339184943,0.012416475442246586
8.0,19.0,16.0,6.0,0.4417634325575146,-0.10612333237693644
8.0,19.0,17.0,6.0,0.595255577077268,-0.07225481585716986
8.0,19.0,18.0,6.0,1.0108916088667124,0.1478905415213129
8.0,19.0,19.0,6.0,1.1091955665928466,0.23256183282072937
8.0,19.0,20.0,6.0,0.6607915488946907,0.012416475442246586
8.0,19.0,21.0,6.0,0.1640978677521181,-0.1738603654164696
8.0,19.0,22.0,6.0,-0.4998850046086127,-0.5125455306141354
8.0,19.0,23.0,6.0,-0.739608690993396,-0.6141510801734351
8.0,20.0,0.0,6.0,-0.8706806346282415,-0.664953854953085
8.0,20.0,1.0,6.0,-1.062114657568608,-0.7326908879926182
8.0,20.0,2.0,6.0,-1.0690131809178105,-0.7767199594683147
8.0,20.0,3.0,6.0,-1.2104329095764597,-0.8173621792920346
8.0,20.0,4.0,6.0,-1.3173600214890968,-0.8173621792920346
8.0,20.0,5.0,6.0,-1.3346063298621027,-0.8173621792920346
8.0,20.0,6.0,6.0,-1.2328531104613674,-0.8173621792920346
8.0,20.0,7.0,6.0,-1.027622040822596,-0.7326908879926182
8.0,20.0,8.0,6.0,-0.8620574804417386,-0.6818881132129683
8.0,20.0,9.0,6.0,-0.5119574204697168,-0.546414047133902
8.0,20.0,10.0,6.0,0.10890968095849891,-0.27546591497576933
8.0,20.0,11.0,6.0,0.578009268704262,-0.055320557597286574
8.0,20.0,12.0,6.0,0.62974819382328,-0.038386299337403285
8.0,20.0,13.0,6.0,0.9919206696564058,0.21562757456084608
8.0,20.0,14.0,6.0,0.5590383294939554,-0.07225481585716986
8.0,20.0,15.0,6.0,0.3244885356210738,-0.1907946236763529
8.0,20.0,16.0,6.0,0.19686585366082948,-0.24159739845600275
8.0,20.0,17.0,6.0,0.38140135325199365,-0.13999184889670302
8.0,20.0,18.0,6.0,0.4779806801408272,-0.10612333237693644
8.0,20.0,19.0,6.0,0.4383141708829134,-0.13999184889670302
8.0,20.0,20.0,6.0,-0.24291500985082334,-0.41093998105483565
8.0,20.0,21.0,6.0,-0.46366775702530005,-0.5125455306141354
8.0,20.0,22.0,6.0,-0.8327387562076284,-0.6141510801734351
8.0,20.0,23.0,6.0,-1.1017811668265218,-0.7665594045123848
8.0,21.0,0.0,1.0,-1.196635862878055,-0.8004279210321513
8.0,21.0,1.0,1.0,-1.3052876056279925,-0.8173621792920346
8.0,21.0,2.0,1.0,-1.346678745723207,-0.8173621792920346
8.0,21.0,3.0,1.0,-1.3518526382351088,-0.8173621792920346
8.0,21.0,4.0,1.0,-1.3397802223740045,-0.8173621792920346
8.0,21.0,5.0,1.0,-1.208708278739159,-0.8004279210321513
8.0,21.0,6.0,1.0,-0.6413047332672618,-0.5633483053937853
8.0,21.0,7.0,1.0,1.2006010009697783,0.28336460760037924
8.0,21.0,8.0,1.0,0.30551759641076726,1.4518284275323263
8.0,21.0,9.0,1.0,0.2986190730615649,3.0944514787410053
8.0,21.0,10.0,1.0,0.7108058431764082,-0.038386299337403285
8.0,21.0,11.0,1.0,0.2693003488274547,-0.1738603654164696
8.0,21.0,12.0,1.0,0.43141564753371103,-0.12305759063681973
8.0,21.0,13.0,1.0,0.3900245074384966,-0.13999184889670302
8.0,21.0,14.0,1.0,0.31414075059727026,-0.1907946236763529
8.0,21.0,15.0,1.0,0.2572279329663505,-0.22466314019611947
8.0,21.0,16.0,1.0,0.4124447083234044,-0.13999184889670302
8.0,21.0,17.0,1.0,0.9988191930056082,1.6211710101311592
8.0,21.0,18.0,1.0,0.8763704035572657,0.08015350848177975
8.0,21.0,19.0,1.0,0.3658796757162882,-0.20772888193623618
8.0,21.0,20.0,1.0,-0.2601613182238294,-0.4448084975746022
8.0,21.0,21.0,1.0,-0.5636963455887348,-0.546414047133902
8.0,21.0,22.0,1.0,-0.8361880178822295,-0.664953854953085
8.0,21.0,23.0,1.0,-1.015549624961492,-0.7496251462525014
8.0,22.0,0.0,2.0,-1.2276792179494656,-0.8173621792920346
8.0,22.0,1.0,2.0,-1.2983890822787902,-0.8173621792920346
8.0,22.0,2.0,2.0,-1.3518526382351088,-0.8173621792920346
8.0,22.0,3.0,2.0,-1.3535772690724093,-0.8173621792920346
8.0,22.0,4.0,2.0,-1.3190846523263973,-0.8173621792920346
8.0,22.0,5.0,2.0,-1.1379984144098345,-0.7665594045123848
8.0,22.0,6.0,2.0,-0.4377982944657911,-0.4786770140943688
8.0,22.0,7.0,2.0,0.9763989921207004,0.09708776674166304
8.0,22.0,8.0,2.0,1.2592384494379987,0.8252608719166445
8.0,22.0,9.0,2.0,0.986746777144504,2.4340154066055573
8.0,22.0,10.0,2.0,0.8470516793231555,0.06321925022189646
8.0,22.0,11.0,2.0,0.5210964510733421,-0.07225481585716986
8.0,22.0,12.0,2.0,0.45728511009322,-0.12305759063681973
8.0,22.0,13.0,2.0,0.465908264279723,-0.10612333237693644
8.0,22.0,14.0,2.0,0.74529845992242,-0.1806340687204229
8.0,22.0,15.0,2.0,0.33828558231947864,-0.1738603654164696
8.0,22.0,16.0,2.0,0.4038215541369014,-0.1569261071565863
8.0,22.0,17.0,2.0,0.9970945621683076,1.8582506257695253
8.0,22.0,18.0,2.0,0.8367038942993519,2.095330241407891
8.0,22.0,19.0,2.0,1.2178473093427844,-0.03161259603344999
8.0,22.0,20.0,2.0,-0.0963213886802724,-0.41093998105483565
8.0,22.0,21.0,2.0,-0.593015069822845,-0.5633483053937853
8.0,22.0,22.0,2.0,-0.7689274152275062,-0.6141510801734351
8.0,22.0,23.0,2.0,-0.9965786857511852,-0.7157566297327349
8.0,23.0,0.0,3.0,-1.2138821712510608,-0.8173621792920346
8.0,23.0,1.0,3.0,-1.2707949888819805,-0.8173621792920346
8.0,23.0,2.0,3.0,-1.3225339140009986,-0.8173621792920346
8.0,23.0,3.0,3.0,-1.3501280073978081,-0.8173621792920346
8.0,23.0,4.0,3.0,-1.3259831756755998,-0.8173621792920346
8.0,23.0,5.0,3.0,-1.1000565359892212,-0.7665594045123848
8.0,23.0,6.0,3.0,-0.4240012477673863,-0.4956112723542521
8.0,23.0,7.0,3.0,1.0453842256127244,0.1478905415213129
8.0,23.0,8.0,3.0,0.952254160398492,1.4010256527526763
