KITS ID,Direction,Month,Day,Hour,Day of Week,Occupancy
5,NB,1,1,0,1,3.25
5,NB,1,1,0,2,3.625
5,NB,1,1,1,1,3.75
5,NB,1,1,1,2,3.5
5,NB,1,1,2,1,2.5
5,NB,1,1,2,2,3.5
5,NB,1,1,3,1,2.0
5,NB,1,1,3,2,2.375
5,NB,1,1,4,1,0.375
5,NB,1,1,4,2,0.75
5,NB,1,1,5,1,0.125
5,NB,1,1,5,2,0.125
5,NB,1,1,6,1,0.125
5,NB,1,1,6,2,0.125
5,NB,1,1,7,1,0.375
5,NB,1,1,7,2,0.375
5,NB,1,1,8,1,0.5
5,NB,1,1,8,2,0.875
5,NB,1,1,9,1,1.0
5,NB,1,1,9,2,1.875
5,NB,1,1,10,1,2.375
5,NB,1,1,10,2,3.125
5,NB,1,1,11,1,3.625
5,NB,1,1,11,2,4.0
5,NB,1,1,12,1,5.0
5,NB,1,1,12,2,6.5
5,NB,1,1,13,1,5.5
5,NB,1,1,13,2,7.125
5,NB,1,1,14,1,6.0
5,NB,1,1,14,2,7.125
5,NB,1,1,15,1,6.375
5,NB,1,1,15,2,7.25
5,NB,1,1,16,1,5.625
5,NB,1,1,16,2,6.625
5,NB,1,1,17,1,5.125
5,NB,1,1,17,2,5.625
5,NB,1,1,18,1,5.25
5,NB,1,1,18,2,5.625
5,NB,1,1,19,1,4.25
5,NB,1,1,19,2,5.0
5,NB,1,1,20,1,2.75
5,NB,1,1,20,2,2.875
5,NB,1,1,21,1,3.25
5,NB,1,1,21,2,2.75
5,NB,1,1,22,1,1.875
5,NB,1,1,22,2,1.75
5,NB,1,1,23,1,1.125
5,NB,1,1,23,2,1.125
5,NB,1,2,0,2,0.625
5,NB,1,2,0,3,1.25
5,NB,1,2,1,2,0.375
5,NB,1,2,1,3,0.125
5,NB,1,2,2,2,0.0
5,NB,1,2,2,3,0.0
5,NB,1,2,3,2,0.0
5,NB,1,2,3,3,0.0
5,NB,1,2,4,2,0.0
5,NB,1,2,4,3,0.0
5,NB,1,2,5,2,0.0
5,NB,1,2,5,3,0.125
5,NB,1,2,6,2,1.625
5,NB,1,2,6,3,1.875
5,NB,1,2,7,2,4.875
5,NB,1,2,7,3,7.25
5,NB,1,2,8,2,10.25
5,NB,1,2,8,3,11.0
5,NB,1,2,9,2,10.125
5,NB,1,2,9,3,10.875
5,NB,1,2,10,2,7.0
5,NB,1,2,10,3,7.625
5,NB,1,2,11,2,6.0
5,NB,1,2,11,3,6.25
5,NB,1,2,12,2,7.5
5,NB,1,2,12,3,9.0
5,NB,1,2,13,2,9.125
5,NB,1,2,13,3,10.125
5,NB,1,2,14,2,7.875
5,NB,1,2,14,3,9.25
5,NB,1,2,15,2,8.125
5,NB,1,2,15,3,8.75
5,NB,1,2,16,2,9.0
5,NB,1,2,16,3,11.375
5,NB,1,2,17,2,9.75
5,NB,1,2,17,3,9.5
5,NB,1,2,18,2,8.0
5,NB,1,2,18,3,9.0
5,NB,1,2,19,2,6.125
5,NB,1,2,19,3,6.375
5,NB,1,2,20,2,4.375
5,NB,1,2,20,3,4.625
5,NB,1,2,21,2,3.125
5,NB,1,2,21,3,3.5
5,NB,1,2,22,2,2.25
5,NB,1,2,22,3,2.75
5,NB,1,2,23,2,0.875
5,NB,1,2,23,3,1.375
5,NB,1,3,0,3,0.75
5,NB,1,3,0,4,1.0
5,NB,1,3,1,3,0.25
5,NB,1,3,1,4,0.25
5,NB,1,3,2,3,0.0
5,NB,1,3,2,4,0.0
5,NB,1,3,3,3,0.0
5,NB,1,3,3,4,0.0
5,NB,1,3,4,3,0.0
5,NB,1,3,4,4,0.0
5,NB,1,3,5,3,0.125
5,NB,1,3,5,4,0.125
5,NB,1,3,6,3,2.25
5,NB,1,3,6,4,1.5
5,NB,1,3,7,3,8.75
5,NB,1,3,7,4,7.25
5,NB,1,3,8,3,16.375
5,NB,1,3,8,4,11.625
5,NB,1,3,9,3,15.75
5,NB,1,3,9,4,11.375
5,NB,1,3,10,3,8.0
5,NB,1,3,10,4,8.0
5,NB,1,3,11,3,7.125
5,NB,1,3,11,4,6.625
5,NB,1,3,12,3,8.125
5,NB,1,3,12,4,8.625
5,NB,1,3,13,3,11.125
5,NB,1,3,13,4,10.125
5,NB,1,3,14,3,9.25
5,NB,1,3,14,4,9.25
5,NB,1,3,15,3,8.625
5,NB,1,3,15,4,8.75
5,NB,1,3,16,3,10.5
5,NB,1,3,16,4,10.0
5,NB,1,3,17,3,9.75
5,NB,1,3,17,4,10.875
5,NB,1,3,18,3,10.625
5,NB,1,3,18,4,10.125
5,NB,1,3,19,3,7.375
5,NB,1,3,19,4,8.25
5,NB,1,3,20,3,5.25
5,NB,1,3,20,4,5.75
5,NB,1,3,21,3,4.125
5,NB,1,3,21,4,4.875
5,NB,1,3,22,3,3.0
5,NB,1,3,22,4,3.25
5,NB,1,3,23,3,1.5
5,NB,1,3,23,4,2.25
5,NB,1,4,0,4,1.125
5,NB,1,4,0,5,1.25
5,NB,1,4,1,4,0.375
5,NB,1,4,1,5,0.75
5,NB,1,4,2,4,0.0
5,NB,1,4,2,5,0.125
5,NB,1,4,3,4,0.0
5,NB,1,4,3,5,0.125
5,NB,1,4,4,4,0.0
5,NB,1,4,4,5,0.0
5,NB,1,4,5,4,0.25
5,NB,1,4,6,4,2.375
5,NB,1,4,7,4,9.625
5,NB,1,4,8,4,17.375
5,NB,1,4,9,4,17.625
5,NB,1,4,10,4,7.5
5,NB,1,4,11,4,6.8
5,NB,1,4,12,4,8.375
5,NB,1,4,13,4,13.25
5,NB,1,4,14,4,9.75
5,NB,1,4,15,4,8.625
5,NB,1,4,16,4,8.75
5,NB,1,4,17,4,9.875
5,NB,1,4,18,4,9.625
5,NB,1,4,19,4,7.375
5,NB,1,4,20,4,5.625
5,NB,1,4,21,4,4.25
5,NB,1,4,22,4,3.375
5,NB,1,4,23,4,1.5
5,NB,1,5,0,5,1.125
5,NB,1,5,1,5,0.5
5,NB,1,5,2,5,0.0
5,NB,1,5,3,5,0.0
5,NB,1,5,4,5,0.0
5,NB,1,5,5,5,0.125
5,NB,1,5,6,5,2.125
5,NB,1,5,7,5,8.75
5,NB,1,5,8,5,19.0
5,NB,1,5,9,5,17.75
5,NB,1,5,10,5,8.125
5,NB,1,5,11,5,7.125
5,NB,1,5,12,5,8.625
5,NB,1,5,13,5,38.125
5,NB,1,5,14,5,14.0
5,NB,1,5,15,5,10.125
5,NB,1,5,16,5,10.125
5,NB,1,5,17,5,25.875
5,NB,1,5,18,5,14.875
5,NB,1,5,19,5,11.25
5,NB,1,5,20,5,8.0
5,NB,1,5,21,5,5.5
5,NB,1,5,22,5,5.0
5,NB,1,5,23,5,4.5
5,NB,1,6,0,6,2.5
5,NB,1,6,1,6,1.75
5,NB,1,6,2,6,1.25
5,NB,1,6,3,6,0.25
5,NB,1,6,4,0,0.0
5,NB,1,6,4,6,0.0
5,NB,1,6,5,0,0.0
5,NB,1,6,5,6,0.0
5,NB,1,6,6,0,0.25
5,NB,1,6,6,6,0.3333333333333333
5,NB,1,6,7,0,0.75
5,NB,1,6,7,6,0.875
5,NB,1,6,8,0,1.5
5,NB,1,6,8,6,1.625
5,NB,1,6,9,0,3.0
5,NB,1,6,9,6,3.75
5,NB,1,6,10,0,4.625
5,NB,1,6,10,6,6.0
5,NB,1,6,11,0,6.625
5,NB,1,6,11,6,7.0
5,NB,1,6,12,0,8.625
5,NB,1,6,12,6,8.5
5,NB,1,6,13,0,10.0
5,NB,1,6,13,6,9.625
5,NB,1,6,14,0,10.5
5,NB,1,6,14,6,10.75
5,NB,1,6,15,0,10.0
5,NB,1,6,15,6,10.375
5,NB,1,6,16,0,11.125
5,NB,1,6,16,6,22.0
5,NB,1,6,17,0,9.75
5,NB,1,6,17,6,12.5
5,NB,1,6,18,0,9.125
5,NB,1,6,18,6,9.5
5,NB,1,6,19,0,7.625
5,NB,1,6,19,6,9.0
5,NB,1,6,20,0,5.0
5,NB,1,6,20,6,7.125
5,NB,1,6,21,0,3.5
5,NB,1,6,21,6,6.125
5,NB,1,6,22,0,2.625
5,NB,1,6,22,6,6.25
5,NB,1,6,23,0,0.875
5,NB,1,6,23,6,4.5
5,NB,1,7,0,0,2.875
5,NB,1,7,0,1,0.5
5,NB,1,7,1,0,2.125
5,NB,1,7,1,1,0.125
5,NB,1,7,2,0,1.375
5,NB,1,7,2,1,0.0
5,NB,1,7,3,0,0.875
5,NB,1,7,3,1,0.0
5,NB,1,7,4,0,0.0
5,NB,1,7,4,1,0.0
5,NB,1,7,5,0,0.0
5,NB,1,7,5,1,0.5
5,NB,1,7,6,0,0.0
5,NB,1,7,6,1,3.25
5,NB,1,7,7,0,0.5
5,NB,1,7,7,1,11.0
5,NB,1,7,8,0,1.25
5,NB,1,7,9,0,2.5
5,NB,1,7,10,0,4.375
5,NB,1,7,11,0,6.375
5,NB,1,7,12,0,7.75
5,NB,1,7,13,0,9.0
5,NB,1,7,14,0,9.5
5,NB,1,7,15,0,9.625
5,NB,1,7,16,0,10.375
5,NB,1,7,17,0,8.125
5,NB,1,7,18,0,8.125
5,NB,1,7,19,0,5.75
5,NB,1,7,20,0,4.375
5,NB,1,7,21,0,4.25
5,NB,1,7,22,0,2.0
5,NB,1,7,23,0,1.125
5,NB,1,8,0,1,0.5
5,NB,1,8,1,1,0.25
5,NB,1,8,2,1,0.0
5,NB,1,8,3,1,0.0
5,NB,1,8,4,1,0.0
5,NB,1,8,5,1,0.375
5,NB,1,8,6,1,2.625
5,NB,1,8,7,1,10.375
5,NB,1,8,8,1,29.125
5,NB,1,8,9,1,21.375
5,NB,1,8,10,1,6.625
5,NB,1,8,11,1,6.625
5,NB,1,8,12,1,7.625
5,NB,1,8,13,1,9.5
5,NB,1,8,14,1,8.125
5,NB,1,8,14,2,9.5
5,NB,1,8,15,1,8.375
5,NB,1,8,15,2,9.375
5,NB,1,8,16,1,10.625
5,NB,1,8,16,2,12.25
5,NB,1,8,17,1,10.5
5,NB,1,8,17,2,26.75
5,NB,1,8,18,1,17.375
5,NB,1,8,18,2,33.5
5,NB,1,8,19,1,9.75
5,NB,1,8,19,2,15.5
5,NB,1,8,20,1,5.0
5,NB,1,8,20,2,5.375
5,NB,1,8,21,1,3.875
5,NB,1,8,21,2,4.875
5,NB,1,8,22,1,2.75
5,NB,1,8,22,2,3.125
5,NB,1,8,23,1,1.875
5,NB,1,8,23,2,1.75
5,NB,1,9,0,2,1.0
5,NB,1,9,0,3,1.0
5,NB,1,9,1,2,0.375
5,NB,1,9,1,3,0.125
5,NB,1,9,2,2,0.125
5,NB,1,9,2,3,0.0
5,NB,1,9,3,2,0.0
5,NB,1,9,3,3,0.0
5,NB,1,9,4,2,0.0
5,NB,1,9,4,3,0.0
5,NB,1,9,5,2,0.375
5,NB,1,9,5,3,0.75
5,NB,1,9,6,2,2.625
5,NB,1,9,6,3,3.5
5,NB,1,9,7,2,12.125
5,NB,1,9,7,3,13.625
5,NB,1,9,8,2,31.875
5,NB,1,9,8,3,31.125
5,NB,1,9,9,2,23.125
5,NB,1,9,9,3,28.5
5,NB,1,9,10,2,7.625
5,NB,1,9,10,3,8.5
5,NB,1,9,11,2,7.375
5,NB,1,9,11,3,7.625
5,NB,1,9,12,2,8.0
5,NB,1,9,12,3,9.625
5,NB,1,9,13,2,10.5
5,NB,1,9,13,3,12.75
5,NB,1,9,14,2,8.875
5,NB,1,9,14,3,9.125
5,NB,1,9,15,2,10.0
5,NB,1,9,15,3,12.875
5,NB,1,9,16,2,10.375
5,NB,1,9,16,3,21.0
5,NB,1,9,17,2,10.25
5,NB,1,9,17,3,32.125
5,NB,1,9,18,2,10.25
5,NB,1,9,18,3,32.875
5,NB,1,9,19,2,8.625
5,NB,1,9,19,3,16.75
5,NB,1,9,20,2,5.5
5,NB,1,9,20,3,6.25
5,NB,1,9,21,2,4.625
5,NB,1,9,21,3,5.125
5,NB,1,9,22,2,3.125
5,NB,1,9,22,3,3.875
5,NB,1,9,23,2,1.75
5,NB,1,9,23,3,1.75
5,NB,1,10,0,3,0.875
5,NB,1,10,0,4,0.75
5,NB,1,10,1,3,0.25
5,NB,1,10,1,4,0.125
5,NB,1,10,2,3,0.125
5,NB,1,10,2,4,0.0
5,NB,1,10,3,3,0.0
