Volume,Occupancy,Month,Day,Hour,Day of Week
1252,9.333,8,18,12,5
2030,8.7,8,18,13,5
1474,7.625,8,18,14,5
1472,7.625,8,18,15,5
1482,7.5,8,18,16,5
1650,8.5,8,18,17,5
1367,8.75,8,18,18,5
1489,7.625,8,18,19,5
1214,5.875,8,18,20,5
922,4.375,8,18,21,5
579,2.625,8,18,22,5
376,1.75,8,18,23,5
246,0.75,8,19,0,6
154,0.375,8,19,1,6
129,0.0,8,19,2,6
88,0.0,8,19,3,6
48,0.0,8,19,4,6
53,0.0,8,19,5,6
170,0.375,8,19,6,6
317,1.125,8,19,7,6
550,2.5,8,19,8,6
893,3.875,8,19,9,6
1102,5.25,8,19,10,6
1063,5.125,8,19,11,6
1164,5.875,8,19,12,6
1136,5.75,8,19,13,6
1097,5.375,8,19,14,6
1195,6.125,8,19,15,6
1062,5.25,8,19,16,6
1151,5.5,8,19,17,6
1392,7.125,8,19,18,6
1449,7.75,8,19,19,6
1189,6.125,8,19,20,6
901,4.75,8,19,21,6
516,2.25,8,19,22,6
377,1.5,8,19,23,6
301,1.125,8,20,0,6
190,0.625,8,20,1,6
186,0.3,8,20,2,6
104,0.0,8,20,3,6
42,0.0,8,20,4,6
32,0.0,8,20,5,6
91,0.0,8,20,6,6
210,0.625,8,20,7,6
306,1.0,8,20,8,6
509,2.0,8,20,9,6
869,4.0,8,20,10,6
1141,5.625,8,20,11,6
1171,5.75,8,20,12,6
1381,7.625,8,20,13,6
1130,5.5,8,20,14,6
994,4.625,8,20,15,6
920,4.25,8,20,16,6
1027,5.0,8,20,17,6
1083,5.25,8,20,18,6
1060,5.0,8,20,19,6
665,3.0,8,20,20,6
537,2.25,8,20,21,6
323,1.5,8,20,22,6
167,0.375,8,20,23,6
112,0.125,8,21,0,1
49,0.0,8,21,1,1
25,0.0,8,21,2,1
22,0.0,8,21,3,1
29,0.0,8,21,4,1
105,0.125,8,21,5,1
434,1.875,8,21,6,1
1502,8.125,8,21,7,1
983,16.75,8,21,8,1
979,28.875,8,21,9,1
1218,5.75,8,21,10,1
962,4.75,8,21,11,1
1056,5.125,8,21,12,1
1032,5.0,8,21,13,1
988,4.625,8,21,14,1
955,4.375,8,21,15,1
1045,5.0,8,21,16,1
1385,18.0,8,21,17,1
1314,6.625,8,21,18,1
1018,4.5,8,21,19,1
655,2.75,8,21,20,1
479,2.0,8,21,21,1
321,1.125,8,21,22,1
217,0.5,8,21,23,1
94,0.0,8,22,0,2
53,0.0,8,22,1,2
22,0.0,8,22,2,2
21,0.0,8,22,3,2
41,0.0,8,22,4,2
146,0.375,8,22,5,2
552,2.5,8,22,6,2
1372,6.75,8,22,7,2
1536,12.125,8,22,8,2
1378,24.0,8,22,9,2
1297,6.5,8,22,10,2
1108,5.5,8,22,11,2
1071,5.125,8,22,12,2
1076,5.25,8,22,13,2
1238,4.7,8,22,14,2
1002,4.75,8,22,15,2
1040,4.875,8,22,16,2
1384,19.75,8,22,17,2
1291,21.5,8,22,18,2
1512,5.8,8,22,19,2
750,3.0,8,22,20,2
462,1.875,8,22,21,2
360,1.5,8,22,22,2
228,0.75,8,22,23,2
102,0.0,8,23,0,3
69,0.0,8,23,1,3
39,0.0,8,23,2,3
23,0.0,8,23,3,3
37,0.0,8,23,4,3
168,0.375,8,23,5,3
560,2.375,8,23,6,3
1412,7.125,8,23,7,3
1358,16.375,8,23,8,3
1639,22.375,8,23,9,3
1433,7.375,8,23,10,3
1171,5.625,8,23,11,3
1118,5.375,8,23,12,3
1188,5.875,8,23,13,3
1020,4.75,8,23,14,3
1130,5.5,8,23,15,3
1136,5.5,8,23,16,3
1076,31.625,8,23,17,3
932,37.75,8,23,18,3
1293,13.125,8,23,19,3
732,3.25,8,23,20,3
446,1.875,8,23,21,3
295,1.125,8,23,22,3
206,0.5,8,23,23,3
104,0.125,8,24,0,4
49,0.0,8,24,1,4
35,0.0,8,24,2,4
26,0.0,8,24,3,4
38,0.0,8,24,4,4
171,0.375,8,24,5,4
550,2.25,8,24,6,4
1417,7.25,8,24,7,4
1296,14.125,8,24,8,4
1767,9.625,8,24,9,4
1402,6.875,8,24,10,4
1196,6.0,8,24,11,4
1222,6.125,8,24,12,4
1244,6.625,8,24,13,4
1043,5.0,8,24,14,4
1107,5.5,8,24,15,4
1222,5.875,8,24,16,4
1231,26.625,8,24,17,4
1162,20.125,8,24,18,4
1315,7.375,8,24,19,4
820,3.625,8,24,20,4
486,2.0,8,24,21,4
377,1.375,8,24,22,4
236,0.5,8,24,23,4
160,0.375,8,25,0,5
75,0.0,8,25,1,5
49,0.0,8,25,2,5
41,0.0,8,25,3,5
36,0.0,8,25,4,5
143,0.25,8,25,5,5
