Month,Day,Hour,Day of Week,Volume,Occupancy
8.0,19.0,0.0,6.0,246,0.75
8.0,19.0,1.0,6.0,154,0.375
8.0,19.0,2.0,6.0,129,0.0
8.0,19.0,3.0,6.0,88,0.0
8.0,19.0,4.0,6.0,48,0.0
8.0,19.0,5.0,6.0,53,0.0
8.0,19.0,6.0,6.0,170,0.375
8.0,19.0,7.0,6.0,317,1.125
8.0,19.0,8.0,6.0,550,2.5
8.0,19.0,9.0,6.0,893,3.875
8.0,19.0,10.0,6.0,1102,5.25
8.0,19.0,11.0,6.0,1063,5.125
8.0,19.0,12.0,6.0,1164,5.875
8.0,19.0,13.0,6.0,1136,5.75
8.0,19.0,14.0,6.0,1097,5.375
8.0,19.0,15.0,6.0,1195,6.125
8.0,19.0,16.0,6.0,1062,5.25
8.0,19.0,17.0,6.0,1151,5.5
8.0,19.0,18.0,6.0,1392,7.125
8.0,19.0,19.0,6.0,1449,7.75
8.0,19.0,20.0,6.0,1189,6.125
8.0,19.0,21.0,6.0,901,4.75
8.0,19.0,22.0,6.0,516,2.25
8.0,19.0,23.0,6.0,377,1.5
8.0,20.0,0.0,6.0,301,1.125
8.0,20.0,1.0,6.0,190,0.625
8.0,20.0,2.0,6.0,186,0.3
8.0,20.0,3.0,6.0,104,0.0
8.0,20.0,4.0,6.0,42,0.0
8.0,20.0,5.0,6.0,32,0.0
8.0,20.0,6.0,6.0,91,0.0
8.0,20.0,7.0,6.0,210,0.625
8.0,20.0,8.0,6.0,306,1.0
8.0,20.0,9.0,6.0,509,2.0
8.0,20.0,10.0,6.0,869,4.0
8.0,20.0,11.0,6.0,1141,5.625
8.0,20.0,12.0,6.0,1171,5.75
8.0,20.0,13.0,6.0,1381,7.625
8.0,20.0,14.0,6.0,1130,5.5
8.0,20.0,15.0,6.0,994,4.625
8.0,20.0,16.0,6.0,920,4.25
8.0,20.0,17.0,6.0,1027,5.0
8.0,20.0,18.0,6.0,1083,5.25
8.0,20.0,19.0,6.0,1060,5.0
8.0,20.0,20.0,6.0,665,3.0
8.0,20.0,21.0,6.0,537,2.25
8.0,20.0,22.0,6.0,323,1.5
8.0,20.0,23.0,6.0,167,0.375
8.0,21.0,0.0,1.0,112,0.125
8.0,21.0,1.0,1.0,49,0.0
8.0,21.0,2.0,1.0,25,0.0
8.0,21.0,3.0,1.0,22,0.0
8.0,21.0,4.0,1.0,29,0.0
8.0,21.0,5.0,1.0,105,0.125
8.0,21.0,6.0,1.0,434,1.875
8.0,21.0,7.0,1.0,1502,8.125
8.0,21.0,8.0,1.0,983,16.75
8.0,21.0,9.0,1.0,979,28.875
8.0,21.0,10.0,1.0,1218,5.75
8.0,21.0,11.0,1.0,962,4.75
8.0,21.0,12.0,1.0,1056,5.125
8.0,21.0,13.0,1.0,1032,5.0
8.0,21.0,14.0,1.0,988,4.625
8.0,21.0,15.0,1.0,955,4.375
8.0,21.0,16.0,1.0,1045,5.0
8.0,21.0,17.0,1.0,1385,18.0
8.0,21.0,18.0,1.0,1314,6.625
